iter	Passed	Remaining
398	112611	734089
399	112913	733935
400	113240	733948
401	113549	733834
402	113854	733699
403	114160	733563
404	114452	733341
405	114754	733183
406	115066	733092
407	115380	733002
408	115709	733012
409	116033	732990
410	116315	732704
411	116625	732590
412	116938	732495
413	117266	732493
414	117605	732556
415	117920	732465
416	118264	732560
417	118560	732352
418	118842	732056
419	119181	732112
420	119499	732040
421	119820	731985
422	120152	731990
423	120474	731938
424	120802	731919
425	121149	732016
426	121450	731831
427	121739	731573
428	122088	731674
429	122402	731569
430	122704	731384
431	123017	731272
432	123308	731023
433	123629	730950
434	123924	730728
435	124251	730687
436	124587	730701
437	124884	730486
438	125155	730123
439	125473	730025
440	125748	729682
441	126034	729401
442	126348	729284
443	126679	729264
444	127008	729228
445	127310	729035
446	127595	728751
447	127901	728582
448	128234	728568
449	128581	728626
450	128885	728445
451	129187	728250
452	129484	728029
453	129833	728096
454	130125	727844
455	130432	727676
456	130763	727642
457	131071	727476
458	131381	727322
459	131711	727278
460	132041	727230
461	132345	727039
462	132624	726715
463	132921	726487
464	133245	726401
465	133589	726430
466	133916	726360
467	134223	726182
468	134548	726101
469	134876	726039
470	135148	725670
471	135459	725514
472	135751	725254
473	136030	724921
474	136322	724662
475	136599	724322
476	136894	724076
477	137174	723755
478	137499	723668
479	137801	723456
480	138095	723207
481	138389	722954
482	138687	722726
483	138979	722463
484	139285	722275
485	139567	721960
486	139898	721897
487	140199	721680
488	140485	721390
489	140789	721189
490	141119	721115
491	141413	720861
492	141720	720677
493	142060	720656
494	142369	720474
495	142684	720325
496	142987	720118
497	143302	719967
498	143594	719701
499	143859	719298
500	144131	718929
501	144384	718469
502	144650	718075
503	144914	717673
504	145181	717284
505	145432	716813
506	145694	716403
507	145949	715957
508	146199	715489
509	146456	715051
510	146729	714694
511	147010	714378
512	147251	713870
513	147519	713487
514	147780	713077
515	148033	712626
516	148292	712205
517	148538	711721
518	148774	711194
519	149048	710846
520	149305	710417
521	149570	710031
522	149827	709605
523	150084	709180
524	150337	708732
525	150579	708239
526	150872	707985
527	151138	707604
528	151398	707195
529	151652	706758
530	151917	706375
531	152179	705977
532	152427	705515
533	152689	705115
534	152932	704631
535	153193	704234
536	153461	703866
537	153719	703454
538	153983	703067
539	154245	702675
540	154510	702293
541	154751	701807
542	155025	701466
543	155274	701018
544	155515	700532
545	155785	700177
546	156036	699740
547	156287	699301
548	156552	698925
549	156797	698459
550	157063	698092
551	157330	697725
552	157581	697291
553	157882	697076
554	158150	696715
555	158426	696391
556	158677	695958
557	158932	695541
558	159212	695237
559	159462	694799
560	159718	694390
561	159972	693973
562	160215	693508
563	160462	693063
564	160732	692715
565	160989	692309
566	161250	691927
567	161505	691518
568	161760	691106
569	162020	690717
570	162303	690429
571	162584	690131
572	162862	689822
573	163134	689486
574	163396	689108
575	163670	688778
576	163969	688557
577	164231	688179
578	164489	687788
579	164742	687373
580	164978	686891
581	165240	686515
582	165496	686113
583	165781	685837
584	166045	685471
585	166317	685138
586	166570	684728
587	166816	684288
588	167080	683924
589	167340	683544
590	167597	683150
591	167853	682757
592	168127	682432
593	168412	682155
594	168666	681754
595	168912	681316
596	169167	680918
597	169417	680503
598	169719	680294
599	169967	679869
600	170236	679531
601	170505	679190
602	170780	678874
603	171038	678489
604	171315	678184
605	171574	677803
606	171849	677490
607	172097	677067
608	172344	676641
609	172621	676335
610	172874	675936
611	173128	675540
612	173392	675184
613	173660	674841
614	173934	674526
615	174221	674259
